USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
720304,64752,WINGS FIELD AIRPORT,US,PA,KLOM,40.1,-75.267,92.1,20050101,20210725
720304,99999,WINGS FLD,US,PA,KLOM,40.133,-75.267,92.0,20040525,20041231
720324,64753,QUAKERTOWN AIRPORT,US,PA,KUKT,40.435,-75.382,160.3,20060101,20210724
720324,99999,QUAKERTOWN,US,PA,KUKT,40.433,-75.383,160.0,20040525,20051231
720378,122,NEW CASTLE MUNICIPAL AIRPORT,US,PA,KUCP,41.033,-80.417,327.1,20060501,20210725
720378,99999,NEW CASTLE MUNI,US,PA,KUCP,41.025,-80.413,326.7,20080101,20081231
720407,462,OCEAN COUNTY AIRPORT,US,NJ,KMJX,39.928,-74.292,25.0,20071114,20210724
720407,99999,ROBERT J MILLER AIRPARK,US,NJ,KMJX,39.933,-74.3,25.0,20080101,20081231
720408,136,CHESTER COUNTY GO CARLSON AIRPORT,US,PA,KMQS,39.983,-75.867,201.2,20071203,20210724
720408,99999,COATESVILLE/CARLSON AIRPORT,US,PA,KMQS,39.983,-75.867,201.0,20080101,20081231
720553,99999,PORT AUTH DOWNTN MANHATTAN WALL ST HEL,US,NY,KJRB,40.701,-74.009,2.1,20160720,20210724
720581,178,LINDEN AIRPORT,US,NJ,KLDJ,40.617,-74.25,7.0,20170101,20210724
720581,99999,LINDEN,US,NJ,KLDJ,40.617,-74.245,7.0,20080721,20161231
722098,64761,EAST HAMPTON AIRPORT,US,NY,KHTO,40.96,-72.252,17.1,20060101,20210724
722098,99999,EAST HAMPTON,US,NY,KHTO,40.967,-72.25,17.0,20040713,20051231
722247,54785,SOMERSET AIRPORT,US,NJ,KSMQ,40.624,-74.669,32.0,20060101,20210724
722247,99999,SOMERSET,US,NJ,KSMQ,40.633,-74.667,32.0,20050208,20051231
722826,93762,SITE R,US,PA,KRYT,39.733,-77.433,274.9,20060501,20171114
722826,99999,SITE R,US,PA,KRYT,39.733,-77.433,274.9,20041027,20041124
